1313 L* Age (ka),1313 L* Depth (amcd),1313 L*,1313 L* Norm Detrend,LRO4 Age (ka),LRO4 Depth (amcd),LRO4 d18O,LRO4 d18O Norm Detrend,Alkane Age (kyr),Alkane Depth (amcd),Alkanes (ng/g),Alkanol Age (kyr),  Alkanol Depth (amcd),Alkanol (ng/g),  SST Depth (amcd),SST Age (kyr),SST (°C),Color Age (ka),Red Norm,Green Norm,Blue Norm,Grey Norm
69.283,3.85,65.39,0.0639,77,,4.077,0.5425,75.31,4.35,52.34,429.56,19.49,130,7.03,144.13,15.84,77,0.952204956,0.849682018,0.611738448,0.858846442
70.458,3.90,64.93,-0.0185,78,,4.055,0.6065,76.59,4.41,37.6,435,19.75,161,7.13,146.26,15.13,78,0.871306,0.844464882,0.708355633,0.841253362
71.633,3.95,63.30,-0.3081,79,,4.051,0.6174,77.44,4.45,49.61,442.11,20.09,111,7.24,148.6,14.71,79,0.613999642,0.661314213,0.666990674,0.650431762
72.807,4.00,67.07,0.3587,80,,3.901,1.0591,77.44,4.45,48.02,447.54,20.35,81,7.34,150.74,14.75,80,0.647429176,0.649455705,0.69740594,0.657866797
73.982,4.05,68.64,0.6358,81,,3.824,1.2854,77.87,4.47,58.95,450.89,20.51,22,7.44,152.87,15.91,81,1.202720702,1.153088805,1.045274314,1.162059811
75.157,4.10,69.38,0.7660,82,,3.802,1.3494,78.3,4.49,33.19,455.49,20.73,81,7.55,155.22,13.39,82,0.566466157,0.542238237,0.501581628,0.548507627
76.331,4.15,69.21,0.7349,83,,3.828,1.2717,78.75,4.51,58.03,459.26,20.91,39,7.65,157.35,13.27,83,0.537172075,0.474789384,0.453362878,0.493960824
77.506,4.20,71.06,1.0617,84,,3.823,1.2856,79.28,4.53,61.38,464.69,21.17,33,7.75,159.48,14.5,84,0.917983958,0.815538257,0.733289007,0.839560743
78.681,4.25,72.29,1.2786,85,,3.953,0.9010,79.81,4.55,44.94,465.74,21.22,31,7.86,161.83,14.32,85,1.226425461,1.105032168,0.9693802,1.128667443
79.855,4.30,72.80,1.3680,86,,4.059,0.5874,81.41,4.61,106.39,467.62,21.31,31,7.94,163.54,15.17,86,1.227243007,1.103722482,0.971101229,1.128352467
81.03,4.35,73.42,1.4769,87,,4.18,0.2294,83.81,4.7,37.11,469.5,21.4,57,8.02,165.24,15.58,87,1.139570808,1.019305627,0.881611034,1.041506687
82.205,4.40,72.41,1.2971,88,,4.107,0.4439,87.01,4.82,27.98,475.46,21.7,28,8.1,166.95,15.96,88,1.02661886,0.907493538,0.763562568,0.928559604
83.38,4.45,71.92,1.2094,89,,4.077,0.5315,89.94,4.93,34.88,478.73,21.88,77,8.19,168.87,15.69,89,0.910510196,0.781865521,0.658141197,0.807392463
84.554,4.50,71.34,1.1058,90,,4.061,0.5778,93.14,5.05,25.93,482.08,22.08,11,8.27,170.57,15.64,90,0.784480173,0.647273132,0.480914943,0.672624615
85.729,4.55,69.43,0.7666,91,,4.008,0.7332,96.08,5.16,120.86,492.78,22.72,3,8.35,172.28,15.5,91,0.758530559,0.612721499,0.409547823,0.638322294
86.904,4.60,67.25,0.3796,92,,4.005,0.7412,99.28,5.28,40.02,506.43,23.68,16,8.44,174.2,14.71,92,0.858530479,0.715343177,0.511751127,0.739731916
88.078,4.65,68.60,0.6178,93,,3.904,1.0383,102.48,5.4,37.56,509.78,23.98,15,8.56,177.26,14.42,93,0.924906147,0.792082093,0.599187179,0.813198182
89.253,4.70,71.89,1.1996,94,,3.806,1.3265,105.14,5.5,36.05,512.46,24.22,15,8.66,179.93,14.15,94,0.632415901,0.47682079,0.251914571,0.503111459
90.428,4.75,76.19,1.9602,95,,3.802,1.3374,105.68,5.52,55.55,521.38,25.02,6,8.76,182.6,14.67,95,0.627845245,0.482854253,0.236262621,0.502926676
91.602,4.80,77.10,2.1204,96,,3.752,1.4840,106.21,5.54,118.77,527.18,25.54,12,8.86,185.26,14.32,96,0,0,0,0
92.777,4.85,77.14,2.1266,97,,3.832,1.2471,106.74,5.56,88.94,532.53,26.02,11,8.93,187.13,15.11,97,0,0,0,0
93.952,4.90,77.27,2.1487,98,,3.9,1.0455,107.28,5.58,75.23,534.54,26.2,50,9.01,189.26,14.58,98,0,0,0,0
95.126,4.95,75.22,1.7848,99,,3.781,1.3957,107.81,5.6,107.82,535.32,26.27,97,9.07,190.97,16.7,99,0,0,0,0
96.301,5.00,76.71,2.0477,100,,3.807,1.3181,108.34,5.62,59.29,536.99,26.42,44,9.17,193.81,16.58,100,0,0,0,0
97.476,5.05,76.10,1.9388,101,,3.915,0.9985,108.88,5.64,100.42,540.27,26.65,29,9.26,196.37,15.73,101,0,0,0,0
98.651,5.10,76.05,1.9290,102,,3.856,1.1717,109.41,5.66,107.2,543.15,26.82,35,9.36,199.21,16.23,102,0,0,0,0
99.825,5.15,76.54,2.0149,103,,3.876,1.1117,109.67,5.67,103.78,550,27.16,68,9.46,202.2,17.56,103,0,0,0,0
101,5.20,76.30,1.9715,104,,3.921,0.9780,110.21,5.69,117.89,556.07,27.45,17,9.56,205.39,15.9,104,0,0,0,0
102.175,5.25,75.16,1.7687,105,,3.849,1.1896,110.74,5.71,163.78,556.48,27.47,27,9.66,208.59,16.41,105,0,0,0,0
103.349,5.30,75.10,1.7571,106,,4.003,0.7342,111.27,5.73,115.13,560.46,27.66,80,9.76,212.49,18.94,106,0,0,0,0
104.524,5.35,74.89,1.7190,107,,4.044,0.6123,111.81,5.75,100.83,565.89,27.92,37,9.87,217.19,17.88,107,0,0,0,0
105.699,5.40,74.07,1.5729,108,,4.112,0.4108,112.34,5.77,114.67,573.63,28.29,5,9.97,221.43,14.96,108,0,0,0,0
106.873,5.45,73.20,1.4179,109,,4.122,0.3803,112.87,5.79,60.45,580.95,28.64,32,10.07,224.99,14.66,109,0,0,0,0
108.048,5.50,71.89,1.1850,110,,4.038,0.6273,113.67,5.82,54.34,589.76,29.1,38,10.17,228.54,15.21,110,0,0,0,0
109.223,5.55,69.23,0.7130,111,,4.025,0.6647,114.21,5.84,88.47,594.96,29.38,16,10.28,232.46,16.35,111,0,0,0,0
110.398,5.60,71.42,1.0999,112,,4.027,0.6579,114.74,5.86,38.56,600.73,29.69,21,10.3,233.17,17.13,112,0,0,0,0
111.572,5.65,71.11,1.0441,113,,3.935,0.9285,115.27,5.88,53.48,605.37,29.94,9,10.38,236,17.12,113,0,0,0,0
112.747,5.70,68.97,0.6642,114,,3.813,1.2875,115.81,5.9,164.6,610.77,30.2,7,10.48,239.2,17.35,114,0,0,0,0
113.922,5.75,66.95,0.3056,115,,3.709,1.5935,116.34,5.92,91.85,616.97,30.46,21,10.54,241.12,16.89,115,0,0,0,0
115.096,5.80,68.32,0.5473,116,,3.578,1.9791,116.87,5.94,60.6,630.8,30.87,81,10.58,242.4,14.81,116,0,0,0,0
116.271,5.85,69.51,0.7571,117,,3.539,2.0933,117.41,5.96,42.3,634,30.98,110,10.64,244.32,12.96,117,0,0,0,0
117.446,5.90,72.76,1.3318,118,,3.443,2.3756,117.94,5.98,51.64,634.56,31,101,10.68,245.49,13.46,118,0,0,0,0
118.62,5.95,75.17,1.7577,119,,3.298,2.8026,118.47,6,48.33,635.95,31.05,78,10.83,249.76,14.35,119,0,0,0,0
119.795,6.00,75.63,1.8382,120,,3.273,2.8754,119.01,6.02,46.94,640.98,31.27,85,10.87,250.9,15.11,120,0,0,0,0
120.97,6.05,76.03,1.9082,121,,3.256,2.9247,120.07,6.06,34.75,644.32,31.42,86,10.96,253.46,15.9,121,0,0,0,0
122.145,6.10,72.02,1.1971,122,,3.182,3.1421,123.54,6.19,50.26,647.67,31.57,73,11.06,256.3,14.22,122,0,0,0,0
123.319,6.15,75.18,1.7558,123,,3.101,3.3802,126.21,6.29,50.67,650.57,31.7,106,11.18,258.86,15.38,123,0.738328372,0.606105793,0.384057613,0.62503676
124.494,6.20,72.32,1.2484,124,,3.272,2.8747,128.87,6.39,65.25,654.41,31.88,142,11.39,262.51,15.21,124,0.943319124,0.831464854,0.611795254,0.845045971
125.669,6.25,74.09,1.5609,125,,3.141,3.2603,130.47,6.45,210.52,657.32,32.03,105,11.56,265.41,15.23,125,1.13392335,1.068642852,0.866358094,1.070433986
126.843,6.30,72.46,1.2714,126,,3.157,3.2122,132.34,6.52,218.65,659.55,32.15,75,11.76,268.82,14.42,126,1.208025805,1.184080981,0.996912938,1.174970227
128.018,6.35,69.81,0.8011,127,,3.371,2.5798,135,6.62,132.83,665.13,32.45,133,11.86,270.53,12.93,127,1.247456445,1.216351297,1.026587319,1.209316834
129.193,6.40,64.35,-0.1667,128,,3.714,1.5668,137.51,6.72,106.97,675.16,32.99,89,12.06,273.94,12.55,128,1.387986145,1.320549151,1.166812042,1.3293258
130.367,6.45,61.57,-0.6600,129,,3.903,1.0082,139.86,6.83,139.42,675.91,33.03,70,12.18,275.99,12.99,129,1.308825552,1.229782336,1.090074554,1.243534328
131.542,6.50,59.81,-0.9726,130,,3.673,1.6859,141.99,6.93,185.67,679.63,33.23,66,12.38,279.4,15.05,130,1.338757263,1.256588656,1.140771407,1.275330103
132.717,6.55,59.65,-1.0018,131,,3.808,1.2867,142.42,6.95,305.35,684.46,33.49,22,12.48,281.11,16.26,131,1.382559896,1.297462626,1.197231089,1.319664646
133.892,6.60,60.14,-0.9160,132,,4.204,0.1173,144.13,7.03,173.58,685.95,33.57,57,12.68,284.52,16.59,132,1.401558394,1.309335027,1.199660064,1.330610741
135.066,6.65,63.68,-0.2900,133,,4.408,-0.4856,146.26,7.13,142.41,688.17,33.69,112,12.78,286.23,17.01,133,1.387051759,1.298221651,1.160834639,1.312641209
136.241,6.70,63.68,-0.2909,134,,4.702,-1.3540,148.6,7.24,170.47,696.73,34.15,9,12.88,287.93,17.34,134,1.345241915,1.287881167,1.134394774,1.293093759
137.416,6.75,61.60,-0.6601,135,,4.859,-1.8182,150.74,7.34,148.92,704.9,34.59,17,12.98,289.64,17.02,135,1.354067352,1.26073921,1.104019266,1.275460908
138.59,6.80,58.36,-1.2349,136,,4.818,-1.6982,152.87,7.44,144.57,709.74,34.85,112,13.08,291.35,14.45,136,1.266643625,1.168434521,1.005874921,1.183110501
139.765,6.85,58.89,-1.1419,137,,4.796,-1.6342,155.22,7.55,208.35,712.34,34.99,319,13.18,293.05,11.65,137,0.953839134,0.879110685,0.736591743,0.88858098
141.185,6.90,56.57,-1.5539,138,,4.892,-1.9183,157.35,7.65,223.2,714.94,35.13,288,13.28,294.91,13.72,138,0.519018783,0.485005326,0.387702273,0.486579901
142.667,6.95,57.55,-1.3815,139,,4.879,-1.8809,159.48,7.75,140.79,719.36,35.35,100,13.3,295.34,13.93,139,0.55586149,0.517383765,0.419171187,0.52051369
144.148,7.00,59.26,-1.0798,140,,4.961,-2.1238,161.83,7.86,130.22,725.63,35.65,35,13.4,297.47,13.38,140,1.13552099,1.04099831,0.880653866,1.055750382
145.63,7.05,58.57,-1.2031,141,,4.813,-1.6880,163.54,7.94,162.23,729.39,35.83,19,13.5,299.6,15.4,141,1.097164413,1.020113029,0.870802877,1.030759948
147.111,7.10,58.29,-1.2539,142,,4.749,-1.5001,165.24,8.02,87.13,733.99,36.05,26,13.6,301.74,15.22,142,1.109080418,1.02230405,0.887837319,1.037989508
148.593,7.15,58.56,-1.2072,143,,4.784,-1.6043,166.95,8.1,89.49,743.61,36.51,97,13.7,304.12,15.85,143,1.088986959,0.991084708,0.862054741,1.01095949
150.074,7.20,59.06,-1.1198,144,,4.824,-1.7232,168.87,8.19,154.38,748,36.72,209,13.8,306.78,15.36,144,0.981921046,0.882452219,0.73828556,0.900657989
151.556,7.25,58.53,-1.2148,145,,4.754,-1.5176,170.57,8.27,158.99,756.16,37.11,51,13.9,309.45,15.9,145,1.122628848,0.95599019,0.989114395,1.015503222
153.037,7.30,58.83,-1.1628,146,,4.771,-1.5686,172.28,8.35,155.79,759.71,37.28,149,14,312.11,15.97,146,1.204820565,0.984061721,1.157691443,1.076552853
154.519,7.35,60.11,-0.9373,147,,4.8,-1.6551,174.2,8.44,225.28,763.06,37.44,76,14.1,314.78,15.92,147,1.114091605,0.880836019,1.075421556,0.979411873
156,7.40,59.06,-1.1244,148,,4.725,-1.4348,174.63,8.46,185.86,770.17,37.78,26,14.2,317.45,15.47,148,0.944557019,0.731477259,0.958566661,0.82356455
157.143,7.45,56.77,-1.5308,149,,4.75,-1.5094,175.13,8.48,212.46,772.26,37.88,13,14.22,317.98,16.16,149,0.795877015,0.597359804,0.840199161,0.684314416
158.286,7.50,54.95,-1.8540,150,,4.747,-1.5015,175.93,8.51,202.88,782.56,38.29,5,14.24,318.52,16.2,150,0.691918541,0.493841514,0.725919513,0.579926312
159.429,7.55,55.93,-1.6814,151,,4.683,-1.3136,176.46,8.53,183.58,796.21,38.73,48,14.26,319.05,14.48,151,0.674293635,0.463161271,0.696032414,0.554737054
160.571,7.60,56.34,-1.6096,152,,4.637,-1.1788,177.26,8.56,173,798.88,38.85,150,14.28,319.59,13.94,152,0.758657787,0.528588959,0.763776855,0.627562085
